id_type,id,note,active
Job_Requisition_ID,R-00001,R-00001 Operations Business Analyst (Filled),true
Job_Requisition_ID,R-00002,R-00002 Executive Assistant (Filled),true
Job_Requisition_ID,R-00003,R-00003 Administrative Assistant (Filled),true
Job_Requisition_ID,R-00004,R-00004 Senior Consultant (Filled),true
Job_Requisition_ID,R-00005,R-00005 Consultant (Filled),true
Job_Requisition_ID,R-00006,R-00006 Consultant (Open),true
Job_Requisition_ID,R-00007,R-00007 Senior Consultant (Open),true
Job_Requisition_ID,R-00008,R-00008 Regional Sales Manager (Filled),true
Job_Requisition_ID,R-00009,R-00009 Regional Sales Manager (Filled),true
Job_Requisition_ID,R-00010,R-00010 Consultant (Filled),true
Job_Requisition_ID,R-00011,R-00011 Senior Customer Services Representative (Open),true
Job_Requisition_ID,R-00012,R-00012 Customer Service Representative (Open),true
Job_Requisition_ID,R-00013,"R-00013 Senior Manager, Field Marketing (Open)",true
Job_Requisition_ID,R-00014,R-00014 Marketing Coordinator (Open),true
Job_Requisition_ID,R-00015,R-00015 Web Content Manager (Open),true
Job_Requisition_ID,R-00016,R-00016 Senior Workstation Engineer (Open),true
Job_Requisition_ID,R-00017,R-00017 Senior Workstation Engineer (Open),true
Job_Requisition_ID,R-00018,R-00018 Senior IT Analyst (Open),true
Job_Requisition_ID,R-00019,R-00019 Senior IT Analyst (Open),true
Job_Requisition_ID,R-00020,R-00020 IT HelpDesk Specialist (Open),true
Job_Requisition_ID,R-00021,R-00021 IT HelpDesk Specialist (Open),true
Job_Requisition_ID,R-00022,R-00022 Corporate Counsel (Open),true
Job_Requisition_ID,R-00023,R-00023 Consultant (Open),true
Job_Requisition_ID,R-00024,R-00024 UI/UX Design Associate (Open),true
Job_Requisition_ID,R-00025,R-00025 Senior Consultant (Open),true
Job_Requisition_ID,R-00026,R-00026 Senior Customer Services Representative (Open),true
Job_Requisition_ID,R-00027,R-00027 Customer Service Representative (Filled),true
Job_Requisition_ID,R-00028,R-00028 Senior Data Analyst (Filled),true
Job_Requisition_ID,R-00029,R-00029 Executive Assistant (Open),true
Job_Requisition_ID,R-00030,R-00030 Sales Contracts Manager (Open),true
Job_Requisition_ID,R-00031,R-00031 Product Management (Open),true
Job_Requisition_ID,R-00032,"R-00032 Professional, Data Engineering (Open)",true
Job_Requisition_ID,R-00033,R-00033 Senior Consultant (Filled),true
Job_Requisition_ID,R-00034,R-00034 Customer Service Representative (Open),true
Job_Requisition_ID,R-00035,R-00035 Senior HR Representative (Open),true
Job_Requisition_ID,R-00036,R-00036 Senior Workday Integration Engineer (Open),true
Job_Requisition_ID,R-00037,R-00037 Senior Customer Services Representative (Closed),true
Job_Requisition_ID,R-00038,R-00038 Customer Service Representative (Closed),true
Job_Requisition_ID,R-00039,R-00039 Product Strategy (Open),true
Job_Requisition_ID,R-00040,R-00040 Chief Risk Management Officer (Filled),true
Job_Requisition_ID,R-00041,R-00041 Senior Risk Analyst (Open),true
Job_Requisition_ID,R-00042,R-00042 HR Manager (Filled),true
Job_Requisition_ID,R-00044,R-00044 HR Manager-EMEA (Open),true
Job_Requisition_ID,R-00045,R-00045 Customer Service Representative (Filled),true
Job_Requisition_ID,R-00046,R-00046 Senior Customer Service Representative (Open),true
Job_Requisition_ID,R-00047,R-00047 Product Developer (Filled),true
Job_Requisition_ID,R-00048,R-00048 Product Developer (Filled),true
Job_Requisition_ID,R-00049,R-00049 Consultant - UK (Filled),true
Job_Requisition_ID,R-00050,R-00050 Consultant - UK (Filled),true
Job_Requisition_ID,R-00051,R-00051 Resource Manager (Filled),true
Job_Requisition_ID,R-00052,R-00052 Resource Manager (Filled),true
Job_Requisition_ID,R-00053,R-00053 Project Manager (Filled),true
Job_Requisition_ID,R-00054,R-00054 Associate Consultant (Filled),true
Job_Requisition_ID,R-00055,R-00055 Associate Consultant (Filled),true
Job_Requisition_ID,R-00056,R-00056 Executive Assistant (Filled),true
Job_Requisition_ID,R-00057,R-00057 Consultant Manager-1 (Filled),true
Job_Requisition_ID,R-00058,R-00058 Consultant Manager-1 (Filled),true
Job_Requisition_ID,R-00059,R-00059 Practice Manager (Filled),true
Job_Requisition_ID,R-00060,R-00060 Customer Service Representative (Filled),true
Job_Requisition_ID,R-00061,R-00061 Customer Service Representative (Filled),true
Job_Requisition_ID,R-00062,R-00062 Customer Service Representative (Filled),true
Job_Requisition_ID,R-00063,"R-00063 Manager, Collections (Filled)",true
Job_Requisition_ID,R-00064,R-00064 Collection Specialist (Filled),true
Job_Requisition_ID,R-00065,R-00065 Business Analyst (Filled),true
Job_Requisition_ID,R-00066,R-00066 Product Developer (Filled),true
Job_Requisition_ID,R-00067,"R-00067 Manager, Workstation Support (Open)",true
Job_Requisition_ID,R-00068,R-00068 Senior Consultant (Filled),true
Job_Requisition_ID,R-00069,R-00069 Consultant (Filled),true
Job_Requisition_ID,R-00070,R-00070 Consultant (Filled),true
Job_Requisition_ID,R-00071,R-00071 Associate Consultant (Filled),true
Job_Requisition_ID,R-00072,R-00072 Accounting Specialist - AP (Filled),true
Job_Requisition_ID,R-00073,R-00073 Senior Accountant (Filled),true
Job_Requisition_ID,R-00074,R-00074 Accounting Specialist - AP (Filled),true
Job_Requisition_ID,R-00075,R-00075 Senior Accountant (Filled),true
Job_Requisition_ID,R-00076,R-00076 Accounting Specialist - AR (Filled),true
Job_Requisition_ID,R-00077,R-00077 Accounting Specialist - AR (Filled),true
Job_Requisition_ID,R-00078,R-00078 Tax Specialist (Filled),true
Job_Requisition_ID,R-00079,R-00079 Tax Accountant (Filled),true
Job_Requisition_ID,R-00080,R-00080 Senior Benefits Analyst (Filled),true
Job_Requisition_ID,R-00081,R-00081 Senior Benefits Analyst (Filled),true
Job_Requisition_ID,R-00082,R-00082 Shipping & Receiving Associate-1 (Closed),true
Job_Requisition_ID,R-00083,R-00083 Shipping & Receiving Associate-2 (Closed),true
Job_Requisition_ID,R-00084,R-00084 Shipping & Receiving Associate-3 (Closed),true
Job_Requisition_ID,R-00085,R-00085 Tax Analyst (Filled),true
Job_Requisition_ID,R-00086,R-00086 Staff Payroll Specialist (Filled),true
Job_Requisition_ID,R-00087,R-00087 Staff Payroll Specialist (Filled),true
Job_Requisition_ID,R-00088,"R-00088 Director, Payroll Operations (Filled)",true
Job_Requisition_ID,R-00089,R-00089 Payroll Coordinator (Filled),true
Job_Requisition_ID,R-00090,R-00090 Senior Payroll Specialist (Filled),true
Job_Requisition_ID,R-00091,R-00091 Staff Payroll Specialist (Filled),true
Job_Requisition_ID,R-00092,R-00092 Senior Recruiter (Filled),true
Job_Requisition_ID,R-00093,R-00093 Staff Recruiter (Filled),true
Job_Requisition_ID,R-00094,R-00094 Senior Recruiter (Filled),true
Job_Requisition_ID,R-00095,R-00095 Senior Workforce Analyst (Filled),true
Job_Requisition_ID,R-00096,R-00096 Staff Workforce Analyst (Filled),true
