id_type,id,note,active
Location_ID,San_Francisco_site,San Francisco,true
Location_ID,New_York_site,New York,true
Location_ID,Chicago_site,Chicago,true
Location_ID,Atlanta_site,Atlanta,true
Location_ID,Boston_site,Boston,true
Location_ID,Dallas_site,Dallas,true
Location_ID,Geneva_site,Geneva,true
Location_ID,Munich_site,Munich,true
Location_ID,Stockholm_site,Stockholm,true
Location_ID,Barcelona_site,Barcelona,true
Location_ID,Singapore_site,Singapore,true
Location_ID,Vancouver_site,Vancouver,true
Location_ID,Mexico_City_site,Mexico City,true
Location_ID,London_site,London,true
Location_ID,Sydney_site,Sydney,true
Location_ID,Montreal_site,Montreal,true
Location_ID,Tokyo_site,Tokyo,true
Location_ID,Amsterdam_site,Amsterdam,true
Location_ID,Nice_site,Nice,true
Location_ID,Paris_site,Paris,true
Location_ID,Shanghai_site,Shanghai,true
Location_ID,Sao_Paulo_site,São Paulo,true
Location_ID,Milan_site,Milan,true
Location_ID,Manila_site,Manila,true
Location_ID,Mumbai_site,Mumbai,true
Location_ID,Home_Office_USA_site,Home Office (USA),true
Location_ID,Hong_Kong_site,Hong Kong,true
Location_ID,Toronto_site,Toronto,true
Location_ID,Kuala_Lumpur_site,Kuala Lumpur,true
Location_ID,LOCATION-4-32,Embarcadero Tower 1,true
Location_ID,LOCATION-4-33,Embarcadero Tower 2,true
Location_ID,LOCATION-4-34,Suite 100,true
Location_ID,LOCATION-4-35,Suite 200,true
Location_ID,LOCATION-4-36,Suite 300,true
Location_ID,LOCATION-4-37,Suite 100,true
Location_ID,LOCATION-4-38,Suite 200,true
Location_ID,LOCATION-4-39,Suite 300 - Under Construction,true
Location_ID,LOCATION-4-40,Cubicle 1001,true
Location_ID,LOCATION-4-41,Cubicle 1002,true
Location_ID,LOCATION-4-42,Cubicle 1003,true
Location_ID,LOCATION-4-43,Cubicle 1004,true
Location_ID,LOCATION-4-44,Cubicle 1005,true
Location_ID,LOCATION-4-45,Cubicle 1006,true
Location_ID,LOCATION-4-46,Cubicle 1007,true
Location_ID,LOCATION-4-47,Cubicle 1008,true
Location_ID,LOCATION-4-48,Cubicle 1009,true
Location_ID,LOCATION-4-49,Cubicle 1010,true
Location_ID,LOCATION-4-50,Cubicle 2001,true
Location_ID,LOCATION-4-51,Cubicle 2002,true
Location_ID,LOCATION-4-52,Cubicle 2003,true
