id_type,id,note,active
Organization_Reference_ID,HRIS_matrix,HRIS,true
Organization_Reference_ID,MATRIX_ORGANIZATION-4-2,Customer Support Center,true
Organization_Reference_ID,MATRIX_ORGANIZATION-16-3,Customer Support Center - EMEA,true
Organization_Reference_ID,Executive_Monthly,USA Monthly,true
Organization_Reference_ID,Professional_Corporate_Semi-monthly,USA Semi-monthly Professional Corporate,true
Organization_Reference_ID,Administrative_Regional_Bi-weekly,USA Bi-weekly,true
Organization_Reference_ID,Administrative_Corporate_Weekly,USA Weekly,true
Organization_Reference_ID,Professional_Regional_Semi-monthly,USA Semi-monthly Professional Regional,true
Organization_Reference_ID,3rd_Party_Green_Planet_Acquisition,WCC Third Party - Green Planet Acquisition,true
Organization_Reference_ID,3rd_Party_China,WCC Third Party - China,true
Organization_Reference_ID,Canada_Semi-monthly,CAN Semi-monthly,true
Organization_Reference_ID,Canada_Bi_weekly,CAN Bi-weekly,true
Organization_Reference_ID,3rd_Party_Singapore,WCC Third Party - Singapore,true
Organization_Reference_ID,3rd_Party_Netherlands,WCC Third Party - Netherlands,true
Organization_Reference_ID,3rd_Party_UK,WCC Third Party - U.K.,true
Organization_Reference_ID,3rd_Party_Australia,WCC Third Party - Australia,true
Organization_Reference_ID,3rd_Party_France,WCC Third Party - France,true
Organization_Reference_ID,Administrative_Regional_Semi-monthly,USA Semi-monthly Admin Regional,true
Organization_Reference_ID,Canada_Weekly,CAN Weekly,true
Organization_Reference_ID,3rd_Party_Nordics,WCC Third Party - Nordics,true
Organization_Reference_ID,3rd_Party_Japan,WCC Third Party - Japan,true
Organization_Reference_ID,3rd_Party_Germany,WCC Third Party - Germany,true
Organization_Reference_ID,GBR_Salary,GBR Monthly,true
Organization_Reference_ID,GBR_Hourly,GBR Weekly,true
Organization_Reference_ID,3rd_Party_Austria,WCC Third Party - Austria,true
Organization_Reference_ID,3rd_Party_Switzerland,WCC Third Party - Switzerland,true
Organization_Reference_ID,FRA_Monthly,FRA Monthly,true
Organization_Reference_ID,3rd_Party_Spain,WCC Third Party - Spain,true
Organization_Reference_ID,3rd_Party_GV_Singapore,ADP GV Singapore,true
Organization_Reference_ID,3rd_Party_GV_Germany,ADP GV Germany,true
Organization_Reference_ID,3rd_Party_GV_China,ADP GV China,true
Organization_Reference_ID,3rd_Party_GV_Australia,ADP GV Australia,true
Organization_Reference_ID,PAY_GROUP-16-32,WCC Third Party - South Africa,true
